hydrogen,1,H,1.00797,1,Hydrogen,M
helium,2,He,4.0026,0,Noble gas,N
lithium,3,Li,6.941,1,Alkali Metal,M
beryllium,4,Be,9.01218,2,Alkaline Earth,M
boron,5,B,10.811,3,Boron,N
carbon,6,C,12.011,4,Carbon,N
nitrogen,7,N,14.0067,3,Pnictide,N
oxygen,8,O,15.9994,2,Chalcogen,N
fluorine,9,F,18.9984,1,Halogen,N
neon,10,Ne,20.1797,0,Noble gas,N
sodium,11,Na,22.98977,1,Alkali Metal,M
magnesium,12,Mg,24.305,2,Alkaline Earth,M
aluminum,13,Al,26.98154,3,Boron,M
silicon,14,Si,28.0855,4,Carbon,N
phosphorus,15,P,30.97376,5,Pnictide,N
sulfur,16,S,32.066,6,Chalcogen,N
chlorine,17,Cl,35.4527,1,Halogen,N
argon,18,Ar,39.948,0,Noble gas,N
potassium,19,K,39.0983,1,Alkali Metal,M
calcium,20,Ca,40.078,2,Alkaline Earth,M
scandium,21,Sc,44.9559,3,Transition Metal,M
titanium,22,Ti,47.88,4,Transition Metal,M
vanadium,23,V,50.9415,5,Transition Metal,M
chromium,24,Cr,51.996,3,Transition Metal,M
manganese,25,Mn,54.938,4,Transition Metal,M
iron,26,Fe,55.847,3,Transition Metal,M
cobalt,27,Co,58.9332,2,Transition Metal,M
nickel,28,Ni,58.6934,2,Transition Metal,M
copper,29,Cu,63.456,2,Transition Metal,M
zinc,30,Zn,65.39,2,Transition Metal,M
gallium,31,Ga,69.723,3,Boron,M
germanium,32,Ge,72.61,4,Carbon,M
arsenic,33,As,74.9216,3,Pnictide,N
selenium,34,Se,78.96,4,Chalcogen,N
bromine,35,Br,79.904,1,Halogen,N
krypton,36,Kr,83.8,0,Noble gas,N
rubidium,37,Rb,85.4678,1,Alkali Metal,M
strontium,38,Sr,87.62,2,Alkaline Earth,M
yttrium,39,Y,88.9059,3,Transition Metal,M
zirconium,40,Zr,91.224,4,Transition Metal,M
niobium,41,Nb,92.9064,5,Transition Metal,M
molybdenum,42,Mo,95.94,6,Transition Metal,M
technetium,43,Tc,98,7,Transition Metal,M
ruthenium,44,Ru,101.07,3,Transition Metal,M
rhodium,45,Rh,102.9055,3,Transition Metal,M
palladium,46,Pd,106.42,2,Transition Metal,M
silver,47,Ag,107.868,1,Transition Metal,M
cadmium,48,Cd,112.41,2,Transition Metal,M
indium,49,In,114.82,3,Boron,M
tin,50,Sn,118.71,4,Carbon,M
antimony,51,Sb,121.757,3,Pnictide,M
tellurium,52,Te,127.6,4,Chalcogen,N
iodine,53,I,126.9045,1,Halogen,N
xenon,54,Xe,131.29,0,Noble gas,N
cesium,55,Cs,132.9054,1,Alkali Metal,M
barium,56,Ba,137.33,2,Alkaline Earth,M
lanthanum,57,La,138.9055,3,Rare Earth,M
cerium,58,Ce,140.12,3,Rare Earth,M
praseodymium,59,Pr,140.9077,3,Rare Earth,M
neodymium,60,Nd,144.24,3,Rare Earth,M
promethium,61,Pm,145,3,Rare Earth,M
samarium,62,Sm,150.36,3,Rare Earth,M
europium,63,Eu,151.965,3,Rare Earth,M
gadolinium,64,Gd,157.25,3,Rare Earth,M
terbium,65,Tb,158.9253,3,Rare Earth,M
dysprosium,66,Dy,162.5,3,Rare Earth,M
holmium,67,Ho,164.9303,3,Rare Earth,M
erbium,68,Er,167.26,3,Rare Earth,M
thulium,69,Tm,168.9342,3,Rare Earth,M
ytterbium,70,Yb,173.04,3,Rare Earth,M
lutetium,71,Lu,174.967,3,Rare Earth,M
hafnium,72,Hf,178.49,4,Transition Metal,M
tantalum,73,Ta,180.9479,5,Transition Metal,M
tungsten,74,W,183.85,6,Transition Metal,M
rhenium,75,Re,186.207,7,Transition Metal,M
osmium,76,Os,190.2,4,Transition Metal,M
iridium,77,Ir,192.22,4,Transition Metal,M
platinum,78,Pt,195.08,4,Transition Metal,M
gold,79,Au,196.9665,3,Transition Metal,M
mercury,80,Hg,200.59,2,Transition Metal,M
thallium,81,Tl,204.383,1,Boron,M
lead,82,Pb,207.2,2,Carbon,M
bismuth,83,Bi,208.9804,3,Pnictide,M
polonium,84,Po,209,4,Chalcogen,M
astatine,85,At,210,1,Halogen,N
radon,86,Rn,222,0,Noble gas,N
francium,87,Fr,223,1,Alkali Metal,M
radium,88,Ra,226.0254,2,Alkaline Earth,M
actinium,89,Ac,227,3,Rare Earth,M
thorium,90,Th,232.0381,4,Rare Earth,M
protactinium,91,Pa,231.0359,5,Rare Earth,M
uranium,92,U,238.029,6,Rare Earth,M
neptunium,93,Np,237.0482,5,Rare Earth,M
plutonium,94,Pu,244,4,Rare Earth,M
americium,95,Am,243,3,Rare Earth,M
curium,96,Cm,247,3,Rare Earth,M
berkelium,97,Bk,247,3,Rare Earth,M
californium,98,Cf,251,,Rare Earth,M
einsteinium,99,Es,252,3,Rare Earth,M
fermium,100,Fm,257,3,Rare Earth,M
mendelevium,101,Md,258,3,Rare Earth,M
nobelium,102,No,259,3,Rare Earth,M
lawrencium,103,Lr,260,3,Rare Earth,M
rutherfordium,104,Rf,261,,Transition Metal,M
hahnium,105,Ha,262,,Transition Metal,M
seaborgium,106,Sg,263,,Transition Metal,M
hassium,107,Hs,262,,Transition Metal,M
bohrium,108,Bh,265,,Transition Metal,M
meitnerium,109,Mt,266,,Transition Metal,M
ununnilium,110,Uun,269,,Transition Metal,M
